epoch,accuracy,loss,val_accuracy,val_loss
0,0.3870798349380493,1.3304537534713745,0.4453781545162201,1.1519898176193237
1,0.5283613204956055,1.0820859670639038,0.5798319578170776,1.0386444330215454
2,0.5850840210914612,0.9783145189285278,0.581932783126831,0.9942968487739563
3,0.618697464466095,0.9394477605819702,0.6029411554336548,0.9374920129776001
4,0.6355041861534119,0.8744483590126038,0.6239495873451233,0.904821515083313
5,0.6628151535987854,0.8395953178405762,0.6260504126548767,0.8877817988395691
6,0.6869747638702393,0.7967689633369446,0.6302521228790283,0.8386983275413513
7,0.6885504126548767,0.7739379405975342,0.6323529481887817,0.8157274723052979
8,0.7085084319114685,0.7292652726173401,0.6344537734985352,0.8536665439605713
9,0.7274159789085388,0.7120349407196045,0.668067216873169,0.7658931612968445
10,0.7421218752861023,0.6862389445304871,0.6533613204956055,0.7568124532699585
11,0.7426470518112183,0.6582719087600708,0.674369752407074,0.7170674204826355
12,0.7689075469970703,0.637825608253479,0.6722689270973206,0.71798175573349
13,0.7746848464012146,0.6052352786064148,0.7100840210914612,0.6813307404518127
14,0.7731092572212219,0.5975853800773621,0.7058823704719543,0.6790650486946106
15,0.8014705777168274,0.5665275454521179,0.7079831957817078,0.6737417578697205
16,0.7967436909675598,0.5422531962394714,0.7163865566253662,0.665158748626709
17,0.8082982897758484,0.5239090323448181,0.7016806602478027,0.6467604637145996
18,0.8046218752861023,0.525830090045929,0.7289915680885315,0.6257482171058655
19,0.8082982897758484,0.5265490412712097,0.720588207244873,0.6648024320602417
20,0.8088235259056091,0.5087341666221619,0.743697464466095,0.6081452965736389
21,0.8266806602478027,0.47585830092430115,0.756302535533905,0.6215000748634338
22,0.8356092572212219,0.46089258790016174,0.7521008253097534,0.6029136180877686
23,0.8361344337463379,0.44896742701530457,0.7521008253097534,0.593265175819397
24,0.8424369692802429,0.4296170771121979,0.7668067216873169,0.5829897522926331
25,0.831932783126831,0.4396987855434418,0.7605041861534119,0.6016656756401062
26,0.8461134433746338,0.42293086647987366,0.7478991746902466,0.5816054344177246
27,0.8524159789085388,0.4168301820755005,0.7584033608436584,0.6028292179107666
28,0.8613445162773132,0.38438165187835693,0.7689075469970703,0.5862798094749451
29,0.8644958138465881,0.3853057324886322,0.7668067216873169,0.612953782081604
30,0.8602941036224365,0.3853607773780823,0.7626050710678101,0.5752193331718445
31,0.8765756487846375,0.3553522527217865,0.7689075469970703,0.5659744739532471
32,0.8792017102241516,0.33726587891578674,0.7710084319114685,0.572697103023529
33,0.881302535533905,0.346991628408432,0.7689075469970703,0.5759482979774475
34,0.8786764740943909,0.34039542078971863,0.7752100825309753,0.5683915019035339
35,0.8849790096282959,0.3335214853286743,0.7773109078407288,0.5646183490753174
36,0.8886554837226868,0.32391446828842163,0.7836134433746338,0.5466811656951904
37,0.8876050710678101,0.3127546012401581,0.7773109078407288,0.5609418749809265
38,0.8918067216873169,0.306296169757843,0.7899159789085388,0.5518909692764282
39,0.8865545988082886,0.3080822825431824,0.7415966391563416,0.6802239418029785
40,0.8981092572212219,0.2899402379989624,0.7584033608436584,0.5791817903518677
41,0.908088207244873,0.27200472354888916,0.7962185144424438,0.5574707984924316
