epoch,accuracy,loss,val_accuracy,val_loss
0,0.5716145634651184,1.0665055513381958,0.6394230723381042,0.9716824293136597
1,0.6700521111488342,0.8342416286468506,0.629807710647583,0.8598492741584778
2,0.7372395992279053,0.6967621445655823,0.6995192170143127,0.8006773591041565
3,0.7877604365348816,0.5845466256141663,0.7572115659713745,0.5863454937934875
4,0.8218749761581421,0.5038278102874756,0.7908653616905212,0.5665676593780518
5,0.8557291626930237,0.409930020570755,0.6778846383094788,0.7793201208114624
6,0.8908854126930237,0.34819328784942627,0.776442289352417,0.6572170257568359
7,0.9122396111488342,0.29220131039619446,0.786057710647583,0.6016530394554138
8,0.9393228888511658,0.2185111939907074,0.776442289352417,0.6471709609031677
9,0.9557291865348816,0.18067793548107147,0.8317307829856873,0.5743979215621948
10,0.9674479365348816,0.147091343998909,0.786057710647583,0.6663955450057983
11,0.9690104126930237,0.13940609991550446,0.7788461446762085,0.6531113386154175
12,0.9776041507720947,0.12143885344266891,0.7788461446762085,0.5972087979316711
13,0.9867187738418579,0.09523804485797882,0.7980769276618958,0.6239699721336365
14,0.9841145873069763,0.09161496162414551,0.7644230723381042,0.6573342084884644
15,0.987500011920929,0.0908433124423027,0.7668269276618958,0.7461745738983154
16,0.9768229126930237,0.11025199294090271,0.7956730723381042,0.6426511406898499
17,0.9742187261581421,0.11952025443315506,0.7524038553237915,0.830309271812439
18,0.9661458134651184,0.13680997490882874,0.7956730723381042,0.7322041392326355
19,0.9846354126930237,0.0907028540968895,0.7692307829856873,0.6987184286117554
20,0.9908854365348816,0.07064221799373627,0.7668269276618958,0.7796777486801147
21,0.9927083253860474,0.06239359453320503,0.7908653616905212,0.6582692265510559
22,0.9973958134651184,0.05147884786128998,0.8100961446762085,0.6563002467155457
23,0.9973958134651184,0.04301810264587402,0.786057710647583,0.6185274720191956
24,0.9986979365348816,0.04007698968052864,0.7980769276618958,0.7349966764450073
25,0.9927083253860474,0.05223279446363449,0.7620192170143127,0.8107731342315674
26,0.93359375,0.1968192756175995,0.7668269276618958,0.7357749938964844
27,0.9690104126930237,0.1217774897813797,0.7932692170143127,0.6905184388160706
28,0.984375,0.08139658719301224,0.7956730723381042,0.7799230217933655
29,0.98828125,0.06589134782552719,0.7956730723381042,0.6821458339691162
